primary_label,mistake_count,,,,,,
whtdov,111,,,,,,4906
roahaw,100,,,,,,
bubwre1,92,,,,,,
grekis,91,,,,,,
tropar,88,,,,,,
yercac1,86,,,,,,
socfly1,83,,,,,,
trokin,82,,,,,,
yeofly1,81,,,,,,
linwoo1,77,,,,,,
sobtyr1,74,,,,,,
banana,55,,,,,,
rutjac1,55,,,,,,
creoro1,54,,,,,,
stbwoo2,53,,,,,,
bugtan,52,,,,,,
bobfly1,52,,,,,,
paltan1,51,,,,,,
whbman1,51,,,,,,
wbwwre1,49,,,,,,
yebsee1,48,,,,,,
thbeup1,48,,,,,,
yebela1,47,,,,,,
trsowl,45,,,,,,
yehcar1,45,,,,,,
cocwoo1,44,,,,,,
y00678,43,,,,,,
saffin,42,,,,,,
yebfly1,42,,,,,,
grbhaw1,41,,,,,,
pirfly1,41,,,,,,
compau,41,,,,,,
rumfly1,41,,,,,,
littin1,40,,,,,,
soulap1,40,,,,,,
pavpig2,40,,,,,,
butsal1,39,,,,,,
gycwor1,38,,,,,,
blbwre1,38,,,,,,
bkcdon,38,,,,,,
greegr,37,,,,,,
mastit1,37,,,,,,
speowl1,37,,,,,,
greani1,36,,,,,,
smbani,36,,,,,,
snoegr,36,,,,,,
amakin1,36,,,,,,
whbant1,36,,,,,,
strcuc1,36,,,,,,
strowl1,36,,,,,,
eardov1,36,,,,,,
plbwoo1,35,,,,,,
strfly1,35,,,,,,
crcwoo1,34,,,,,,
cotfly1,32,,,,,,
compot1,32,,,,,,
chfmac1,32,,,,,,
grasal4,31,,,,,,
brtpar1,31,,,,,,
leagre,31,,,,,,
ruther1,31,,,,,,
yecspi2,30,,,,,,
thlsch3,30,,,,,,
rubsee1,30,,,,,,
rinkin1,30,,,,,,
recwoo1,30,,,,,,
anhing,30,,,,,,
blcant4,29,,,,,,
shtfly1,29,,,,,,
blctit1,29,,,,,,
colcha1,28,,,,,,
grnkin,28,,,,,,
savhaw1,28,,,,,,
rtlhum,27,,,,,,
rugdov,27,,,,,,
cargra1,27,,,,,,
amekes,27,,,,,,
chbant1,26,,,,,,
crbtan1,26,,,,,,
bicwre1,26,,,,,,
blhpar1,25,,,,,,
grepot1,25,,,,,,
watjac1,25,,,,,,
yectyr1,25,,,,,,
ragmac1,25,,,,,,
laufal1,24,,,,,,
ywcpar,24,,,,,,
cattyr,23,,,,,,
gybmar,23,,,,,,
crebob1,23,,,,,,
fotfly,23,,,,,,
strher,22,,,,,,
baymac,22,,,,,,
blkvul,22,,,,,,
blcjay1,22,,,,,,
piepuf1,22,,,,,,
orcpar,21,,,,,,
babwar,21,,,,,,
bbwduc,21,,,,,,
whwswa1,21,,,,,,
ampkin1,21,,,,,,
rebbla1,21,,,,,,
secfly1,21,,,,,,
srwswa1,20,,,,,,
solsan,20,,,,,,
yehbla2,19,,,,,,
verfly,19,,,,,,
spbwoo1,19,,,,,,
grysee1,19,,,,,,
cinbec1,19,,,,,,
whttro1,19,,,,,,
yelori1,19,,,,,,
gohman1,19,,,,,,
blchaw1,19,,,,,,
blbgra1,19,,,,,,
purgal2,18,,,,,,
woosto,18,,,,,,
cocher1,18,,,,,,
tbsfin1,18,,,,,,
41663,17,,,,,,
rosspo1,17,,,,,,
bkmtou1,17,,,,,,
whmtyr1,17,,,,,,
whfant1,17,,,,,,
piwtyr1,16,,,,,,
plukit1,15,,,,,,
gretin1,15,,,,,,
palhor2,15,,,,,,
52884,15,,,,,,
spepar1,14,,,,,,
neocor,14,,,,,,
colara1,14,,,,,,
bubcur1,14,,,,,,
48124,13,,,,,,
greibi1,13,,,,,,
olipic1,13,,,,,,
sahpar1,12,,,,,,
566513,12,,,,,,
50186,11,,,,,,
bobher1,11,,,,,,
shghum1,11,,,,,,
bafibi1,11,,,,,,
cregua1,11,,,,,,
bucmot3,10,,,,,,
turvul,10,,,,,,
135045,10,,,,,,
517119,8,,,,,,
rutpuf1,8,,,,,,
rufmot1,8,,,,,,
labter1,7,,,,,,
65344,6,,,,,,
42007,6,,,,,,
41970,6,,,,,,
plctan1,6,,,,,,
67252,6,,,,,,
royfly1,5,,,,,,
46010,5,,,,,,
norscr1,5,,,,,,
24272,5,,,,,,
1192948,4,,,,,,
1346504,4,,,,,,
22973,4,,,,,,
65448,4,,,,,,
134933,4,,,,,,
24322,4,,,,,,
21211,4,,,,,,
714022,3,,,,,,
66893,3,,,,,,
1462711,3,,,,,,
65962,3,,,,,,
476538,3,,,,,,
65373,3,,,,,,
1194042,3,,,,,,
22976,3,,,,,,
21116,2,,,,,,
81930,2,,,,,,
21038,2,,,,,,
963335,2,,,,,,
126247,2,,,,,,
555142,2,,,,,,
66016,2,,,,,,
47067,2,,,,,,
64862,2,,,,,,
65336,2,,,,,,
65349,2,,,,,,
528041,2,,,,,,
476537,2,,,,,,
67082,2,,,,,,
1139490,2,,,,,,
42113,2,,,,,,
42087,2,,,,,,
66578,2,,,,,,
41778,2,,,,,,
66531,1,,,,,,
1564122,1,,,,,,
787625,1,,,,,,
868458,1,,,,,,
65547,1,,,,,,
548639,1,,,,,,
555086,1,,,,,,
24292,1,,,,,,
